"","Seed.code","Tree.code","Island","Tree.species.code","Order.x","Family.x","Genus.x","Species.x","Latitude","Longitude","Site","Date..DD.MM.YYYY.","Type.of.sample..F.fruit.S.seed","Successional.Stage..1.immature.2.mature.3.rotten.4.all.preceding","Fruits.collected.from..G.ground.T.tree","Fruit.syndrome","Total.number.of.fruits.collected","Total.number.of.seeds","Weight.of.all.seeds.g","Date.opening.seed..dd.mm.yy.","Number.of.fruits.predated","Holes.visable","Frass.visable","Percentage.fruits.predated","Insect.code","Date.emerged..for.R.only..DD.MM.YY.","Species.code","Order.y","Family.y","Subfamily","Genus.y","Species.y","Guild","Life.stage..L.larva.A.adult.P.pupae","BIN","Host.from.lit","Reference","Found.in.box.with","Suggested.host"
"51","SEEDGUA_0022","TREEGUA_0012","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54485,144.933312,"Anao","06/09/2017","S",2,"G","C2",10,20,43.2896,"18/12/1017",1,"Y","Y",0.1,"INSECTGUA_0680","18/12/2017","JUVEN","Larvae","Unknown","Unknown","Unknown","sp.1","UK","P","","","","",""
"52","SEEDGUA_0023","TREEGUA_0013","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54483098,144.933328,"Anao","06/09/2017","F",2,"T","A1.1",11,14.3,6.432,"18/12/1017",0,"N","N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","SEEDGUA_0024","TREEGUA_0013","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54483098,144.933328,"Anao","06/09/2017","F",1,"T","A1.1",1,1.3,0.6415,"18/12/1017",0,"N","N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","SEEDGUA_0025","TREEGUA_0013","GUAM","TRIPTR","","Rutaceae","Triphasia","trifolia",13.54483098,144.933328,"Anao","06/09/2017","F",2,"G","A1.1",1,1.3,0.5455,"18/12/1017",1,"N","Y",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","SEEDGUA_0026","TREEGUA_0014","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54488999,144.933131,"Anao","06/09/2017","S",2,"G","C2",12,24,45.5391,"18/12/1017",1,"Y","Y",0.0833333333333333,"INSECTGUA_0682","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"56","SEEDGUA_0026","TREEGUA_0014","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54488999,144.933131,"Anao","06/09/2017","S",2,"G","C2",12,24,45.5391,"18/12/1017",1,"Y","Y",0.0833333333333333,"INSECTGUA_0683","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"57","SEEDGUA_0026","TREEGUA_0014","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54488999,144.933131,"Anao","06/09/2017","S",2,"G","C2",12,24,45.5391,"18/12/1017",1,"Y","Y",0.0833333333333333,"INSECTGUA_1886","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"58","SEEDGUA_0026","TREEGUA_0014","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54488999,144.933131,"Anao","06/09/2017","S",2,"G","C2",12,24,45.5391,"18/12/1017",1,"Y","Y",0.0833333333333333,"INSECTGUA_1887","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"59","SEEDGUA_0026","TREEGUA_0014","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54488999,144.933131,"Anao","06/09/2017","S",2,"G","C2",12,24,45.5391,"18/12/1017",1,"Y","Y",0.0833333333333333,"INSECTGUA_1888","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
"60","SEEDGUA_0026","TREEGUA_0014","GUAM","INTSBI","Fabales","Fabaceae","Intsia","bijuga",13.54488999,144.933131,"Anao","06/09/2017","S",2,"G","C2",12,24,45.5391,"18/12/1017",1,"Y","Y",0.0833333333333333,"INSECTGUA_1889","18/12/2017","TAMAM","Coleoptera","Curculionidae","Cryptorhynchinae","Tamphilus","amplicollis","SE","A","","","","",""
